bolag_namn,org_nr,review_rows,unique_reviewers,oldest_review,newest_review,weak_name_pct,trustpilot_company
"DZZIER AB",5595993816,1,1,2026-07-17T13:38:53.000Z,2026-07-17T13:38:53.000Z,0.0,""
"Metin Invest AB",5593044398,1,1,2026-07-17T13:38:53.000Z,2026-07-17T13:38:53.000Z,0.0,""
"Rhodos Grekiska Kolgrillen Handelsbolag",9697088228,1,1,2026-07-17T13:38:53.000Z,2026-07-17T13:38:53.000Z,0.0,""
"Belle Maison AB",5590140561,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"Carl Lundgren Konsult AB",5567529135,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"ESS Hotel Group AB",5567108047,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"ESS Hotel Group Fastigheter AB",5569942542,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"ESS Hotel Group Hotelldrift AB",5569937526,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"ESS Hotel Group Restaurangdrift AB",5569942583,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"Ellery Beach House AB",5569475006,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"Ess Hotell Fastigheter AB",5568278401,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"Ess Hotell Intressenter AB",5569984742,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"FSB Sweden AB",5568278419,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"FSB Sweden Holding AB",5568340086,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"HPG Sverige AB",5568433220,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"Hotel Bellora Holding AB",5569942534,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"Hotel KA6 AB",5569897779,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"Hotell MJ AB",5590554134,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"Hotellet vid sjön AB",5590099700,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"MJS Hus i Malmö AB",5569942575,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"S Studios Sweden Aktiebolag",5568070410,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"Skönabäck Förvaltnings Aktiebolag",5564647898,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"TCB Sverige AB",5569611261,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"YSB AB",5564662350,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"YSB Intressenter AB",5569248874,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"YSB Sandskogen AB",5590086616,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"Örenäs Slott Hotell och Konferens AB",5567369854,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"Örenäs Slott och Egendom AB",5567985857,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"MPa Engineering AB",5594077439,1,1,2026-06-04T12:50:36.000Z,2026-06-04T12:50:36.000Z,0.0,""
"Aktiebolaget Stockholmshem",5560359555,1,1,2026-03-08T18:23:32.000Z,2026-03-08T18:23:32.000Z,0.0,""
Sparbanksstiftelsen...,8024260674,1,1,2025-11-18T09:49:26.000Z,2025-11-18T09:49:26.000Z,0.0,"Prioritet Finans AB Reviews"
"CMANC Management Consulting AB",5567189542,1,1,2025-07-29T12:11:20.000Z,2025-07-29T12:11:20.000Z,0.0,""
"Two Rabbits Aktiebolag",5563179471,1,1,2025-07-29T12:11:20.000Z,2025-07-29T12:11:20.000Z,0.0,""
"Lipius AB",5594648924,1,1,2023-07-26T08:46:50.000Z,2023-07-26T08:46:50.000Z,0.0,""
"Artic RARI AB",5594147372,1,1,2021-09-01T10:31:47.000Z,2021-09-01T10:31:47.000Z,0.0,""
"IT & Tele Sverige AB",5593775363,1,1,2021-09-01T10:31:47.000Z,2021-09-01T10:31:47.000Z,0.0,""
"Kim Ikonen Creatives",2222000199,1,1,2021-08-27T12:58:21.000Z,2021-08-27T12:58:21.000Z,0.0,""
"Sotenäs Vatten AB",5590848064,1,1,2021-08-14T07:24:54.000Z,2021-08-14T07:24:54.000Z,0.0,""
